Nº CFM,Nome da Instituição,Sigla,CNPJ,Endereço,Município,Região,Telefone Institucional,E-mail Institucional,Site,Facebook,Instagram,Twitter,Natureza Administrativa do Museu,Documento de Criação,Situação,Funcionamento,Valor ingresso,Gratuidades,Setor Educativo,Acervo Predominante,Museólogo,Acessibilidade,Histórico,Responsável pelo Casdastro,"Data 
Cadastro",Certificado enviado,Lat,Lng
32,Monumento Nacional aos Mortos da Segunda Guerra Mundial,MNMSGM,-,"Avenida Infante Dom Henrique, 75",Rio de Janeiro,Metropolitana I,(21) 2519-4601,comsoc@mnmsgm.eb.mil.br,http://www.mnmsgm.eb.mil.br,-,@mnmsgm_exercito,-,Federal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,Gratuito,-,Não,Histórico,Não,Plataformas para PNE,"O Monumento Nacional aos Mortos da Segunda Guerra Mundial (MNMSGM) foi idealizado pelo Marechal JOÃO BAPTISTA MASCARENHAS DE MORAES, Comandante da Força Expedicionária Brasileira (FEB). Graças a seu denodado esforço e dedicação, seu sonho de trazer de volta à Pátria os Heróis imolados nos Campos de Batalha da Itália transformou-se em magnífica realidade.",Sady Guilherme Schmidt Junior - Diretor,12/12/2022,OK,-22.9166277,-43.1734552
33,Espaço Ciência InterAtiva,-,-,Avenida Baronesa de Mesquita,Mesquita,Metropolitana II,(21) 2797-2513,eci@ifrj.edu.br,http://portal.ifrj.edu.br/node/2802,@espacocienciainterativa,@espacocienciainterativa,-,Federal,Portaria,Aberto,Terça a Sexta - Manhã e Tarde,Gratuito,-,Sim,Ciência e Tecnologia,Não,Rampas de acesso e banheiros adaptados.,"""O Espaço Ciência Interativa (ECI) tem como principal objetivo a popularização da ciência com vistas à inclusão social e a divulgação do conhecimento científico, por meio de atividades educativas, eventos de popularização científica, projeto itinerantes como Ciência Itinerante e Museu vai à Escola. Busca ainda, estreitar relações com as redes formais de ensino através do envolvimento das escolas nos projetos desenvolvidos no âmbito do Espaço. A partir da tríade ensino, pesquisa e extensão, o campus abriga exposições permanentes e temporárias abertas ao público com dezenas de módulos experimentais interativos, bem como trabalha de forma articulada com cursos de formação inicial e continuada de professores.

Visa também estimular os alunos de Ensino Médio Técnico, Graduação e Pós-Graduação a participarem de atividades de pesquisa em diversas áreas do conhecimento como em Física Experimental, Ensino de Ciências e Matemática, Ensino de Química, Educação entre outras.  Entre as atividades executadas, estão projetos de iniciação científica, projetos de extensão, trabalhos de conclusão de curso, monografias dissertações, monitorias e elaboração e desenvolvimento e exposições científicas. Hoje, o Campus conta com os cursos de Pós-Graduação Lato Sensu em Educação e Divulgação Científica, Mestrado Profissional em Educação Profissional e Tecnológica em rede nacional, CursoFIC de Contador de Histórias, e cursos de extensão de Formação de Professores em Ciências Naturais e Educação Inclusiva.""",Sérgio de Souza Henrique Júnior - Coordenador,12/12/2022,OK,-22.7840300,-43.4277702
34,Museu de Arte Contemporânea de Niterói,MAC Niterói,-,"Mirante da Boa Viagem, S/N - Boa Viagem",Niterói,Metropolitana III,(21) 99709-4519,macmuseologia@gmail.com,http://macniteroi.com.br,@mac.niteroi,@mac.niteroi,@mac.niteroi,Municipal,Decreto,Aberto,Terça a Domingo - Manhã e Tarde,R$ 10 a 20,Todos - Quarta-feira,Sim,Artes Visuais,Sim,"Acessibilidade física: rampas e elevador
Acessibilidade comunicacional: indicações com placas informativas
Acessibilidade atitudinal: palestras de conscientização/sensibilização para o convívio com as diferenças de para todos os funcionários","""Datas: Criação: Decreto Municipal no. 6591 de 1/4/1993 
Constituição jurídica: 1/4/1993
Data de construção do edifício: início (abril de 92) término (agosto de 96)
Abertura ao público: 2/ 9/1999

O Museu de Arte Contemporânea de Niterói, com sede no edifício projetado pelo arquiteto Oscar Niemeyer, foi constituído em função do contrato de comodato (composto por mais de 1200 obras de cerca de 180 artistas contemporâneos brasileiros) entre a Prefeitura de Niterói e o colecionador João Sattamini.

Os objetivos da Instituição são o estudo e a difusão da Arte Contemporânea Brasileira, em seus diversos aspectos, através de programações e atividades artísticas e educativas, de modo a tornar-se um organismo de significativa expressão nacional e internacional.
""",Angélica de Castro Pimenta Deano - Diretora de Museologia,12/12/2022,OK,-22.8884000,-43.1147000
35,Centro de Ciências Professora Andrea Cristina Costa de Freitas,-,-,"Postal, 50 - Vila Medeiros",Belford Roxo,Metropolitana II,(21) 2761-2178,cepresidentekennedy@educacao.rj.gov.br,-,@kennedy.cepk.3,@kennedycepk,-,Estadual,Não existe documentação de criação do museu,Aberto,Segunda a Sexta - Manhã e Tarde,Gratuito,-,Sim,Ciência e Tecnologia,Não,Possui rampas de acesso e banheiros adaptados.,"O Centro de Ciências foi desenvolvido a partir da participação ativa do corpo discente e docente, envolvendo toda a comunidade escolar, desde a proposta de temas até a inauguração e abertura em outubro de 2022.",Sérgio de Souza Henrique Júnior - Coordenador,12/12/2022,OK,-22.7309996,-43.3796377
36,Museu Histórico do Exército e Forte de Copacabana,MHEx/FC,10.300.296/0001-10,"Praça Cel Eugênio Franco, 1 - Copacabana",Rio de Janeiro,Metropolitana I,(21) 2287-5357,divmus@mhexfc.eb.mil.br,http://www.mhexfc.eb.mil.br,-,@mhexfc_exercito,-,Federal,Portaria,Aberto,Terça a Domingo - Manhã e Tarde,R$ 1 a 10,"Inteira: R$ 6,00. - Meia-entrada (mediante comprovação) R$ 3,00: Professores da rede pública de ensino; Estudantes das redes pública e privada; Maiores de 60 anos; e Portadores da ID Jovem. - Isentos (mediante comprovação): Militares das Forças Armadas e Forças Auxiliares do Brasil e dependentes; Militares das Forças Armadas e Forças Auxiliares estrangeiras, desde que fardados; Maiores de 80 anos; Pessoas com deficiência; Menores de 6 anos; Guias de Turismo; e Grupos agendados.",Não,Histórico,Sim,"Rampas de acesso, Faixa acimentada para cadeirantes ao longo de toda a alameda do EC, Elevador, banheiro unisex para PcD, QR Code nso espaços museais, Guias/Mediadores com saídas programadas a cada 1h.","""O MHEx é talvez o mais antigo museu existente no Brasil. Sua história é resultado de uma sequência de extinções e reorganizações, quase sempre com prejuízo para o patrimônio histórico do Exército e da nação Brasileira, nele abrigado. 
Embora seja do conhecimento que a primeira tentativa de se destinar um local para guardar objetos relativos à História Militar no Brasil, tenha ocorrido por iniciativa do Conde da Cunha, na Fortaleza da Conceição, entre os anos de 1763 e 1767, foi somente em 1865 que o Ministro da Guerra, Dr. Ângelo Muniz da Silva Ferraz, Barão de Uruguaiana, baixou uma Instrução na qual determinava a criação de um museu no antigo Arsenal Militar da Corte e cuja finalidade seria de expor armas dos mais variados tipos, projéteis, equipamentos e invenções, além de fixar normas para a disposição e apresentação desses acervos.

Com a aquisição dos imóveis da Fábrica da Ponta do Cajú e a instalação do novo Arsenal de Guerra em 1902, o acervo do Museu Militar foi transferido para uma das salas do Quartel General, no Centro do Rio de Janeiro. Em 1912, o referido acervo foi novamente movimentado, agora para o Arsenal de Guerra do Rio de Janeiro (AGR), na Ponta do Cajú.

Em 1912, o recém renomeado Museu Histórico Militar foi reorganizado e autorizado a receber dos Chefes de Repartições e Estabelecimentos Militares quaisquer objetos que estivessem em condições de figurar na referida repartição. 
No entanto, tal museu militar parece não ter encontrado o apoio necessário para a sua consolidação, tendo em vista que, com a criação em 1922 do Museu Histórico Nacional (MHN), foi expedida ordem para a transferência de todos os quadros e objetos de valor histórico que estavam sob a guarda do Museu Militar para o novo espaço museológico. Nem todo o acervo, entretanto, seguiu para o MHN, inúmeros armamentos e alguns outros artigos foram recolhidos em 1924 ao Departamento Central, sediado no Antigo Quartel General.

Em 1941, passados quase 17 (dezessete) anos de sua desativação, uma nova tentativa de organização do museu militar se verifica, quando da aprovação das Instruções para Organização e Funcionamento do Museu do Ministério, no então Distrito Federal. Porém, tal iniciativa aparentemente não surtiu o efeito esperado, já que nenhuma menção se fez mais sobre o assunto nos anos seguintes.

Somente em 1948, por ordem do Ministro da Guerra, General de Divisão Canrobert Pereira da Costa, foi criada uma comissão para organizar e classificar os objetos que pudessem vir a ser destinados ao museu a ser recriado.
Embora a comissão já efetivamente estivesse desenvolvendo suas atividades desde 1948, o futuro Museu Militar não possuía ainda uma instalação definida, decisão que só foi tomada em janeiro de 1952, quando o Ministro da Guerra, General de Divisão Newton Estillac Leal, optou pela ocupação provisória da sede do antigo Estabelecimento de Material de Intendência, localizado na Praia de São Cristóvão, n° 95.

Com a recriação em 1953 do Museu Militar do Exército, agora subordinado diretamente à Secretaria Geral do Ministério da Guerra, iniciou-se o recebimento de todo o acervo que havia sido reunido pela comissão organizadora e que por muito pouco não foi destinado ao Museu da United States Military Academy de West Point. 
Em 1954, novamente o acervo do museu mudaria de local, desta feita seu paradeiro foi, mais uma vez, o Palácio da Guerra, no Centro do Rio de Janeiro, onde ocupou toda a ala direita do 3º andar do prédio da Rua Teófilo Ottoni.

Em setembro de 1956, a crescente disputa por mais espaços para atender os órgãos recém criados na estrutura organizacional do Ministério da Guerra tornou insustentável a permanência do Museu Militar nas dependências do Quartel General, sendo esta a  razão maior de sua transferência para o principal Estabelecimento de Ensino do Exército Brasileiro, a Academia Militar das Agulhas Negras (AMAN), em Resende, a cerca de 170 km da cidade do Rio de Janeiro. 

O Museu funcionou na AMAN durante quase uma década, quando no ano de 1964 o Ministro da Guerra, General de Exército Arthur da Costa e Silva, determinou que o Museu Militar do Exército voltasse a ser reorganizado na Cidade do Rio de Janeiro. Quase dois anos depois, o agora intitulado Museu do Exército ocupava as dependências da Casa Histórica de Deodoro (CHD), antiga moradia do primeiro presidente da República Federativa do Brasil, localizada em frente ao Campo de Santana, conhecida nos dias de hoje por Praça da República, e próximo ao Quartel General do Ministério da Guerra, atual sede do Comando Militar do Leste. 

Ainda durante o processo de ocupação de sua nova sede no Rio de Janeiro, mais exatamente em 10 de dezembro de 1965, foi incorporado às instalações do Museu do Exército o imóvel situado à Rua do Riachuelo, n° 303, conhecido como Casa Histórica de Osorio (CHO).

Assim, o Museu do Exército funcionou por quase três décadas nas CHD e CHO, desenvolvendo exposições comemorativas relativas a datas notáveis do Exército e nacionais.

No entanto, as instalações ainda não eram adequadas para receber acervo de importante valor histórico. As Casas Históricas eram antigas, com partes elétrica e hidráulica inadequadas e de difícil manutenção. Enquanto isso, um importante sítio histórico pertencente ao EB encontrava-se sob a ameaça da especulação imobiliária que rondava os bairros da orla atlântica da zona sul da cidade do Rio de Janeiro, o Forte de Copacabana.

A existência do 3º GACos (Terceiro Grupo de Artilharia de Costa), unidade militar instalada na fortificação, tinha seus dias contados, pois desde 1969 seus comandantes já consideravam a unidade operacionalmente obsoleta para atuar na defesa da costa. Concomitantemente, os estudos apontavam ser este o local ideal para a instalação do Museu do Exército.

Em dezembro de 1986, o então Ministro do Exército, General Leônidas Pires Gonçalves criou o MHEx no Forte de Copacabana. Com a extinção do Museu do Exército e do 3° GACos, cerca de seis meses depois, foi iniciada a transferência de todo o acervo existente das CHD e CHO para o novo espaço museal.

Assim, em 1987, o antigo aquartelamento e sua Fortificação trocaram de armas, seus canhões tornaram-se silenciosos e ele passou a sediar o Museu Histórico do Exército e Forte de Copacabana (MHEx/FC), com a dignificante missão de preservar e difundir a história da Instituição, além de divulgar aos brasileiros e visitantes de outras nações tudo o que a Força Terrestre fez e faz pelo Brasil e nas missões internacionais e em prol da democracia e da paz mundial.

A transformação de uma Unidade Operacional para um museu exigiu, por parte dos militares e civis que trabalhavam no MHEx, um grande esforço para executar a difícil obra na sua estrutura arquitetônica, tanto para recuperar o velho Forte como também para adequar os espaços para uma nova realidade.
As vésperas de completar 10 anos em sua nova sede, o MHEx/FC, com o apoio  irrestrito do Ministro do Exército, General Zenildo de Lucena, levou a bom termo a concepção e execução do Salão de Exposição de Longa Duração “Colônia-Império”, projeto exitoso que contou com a participação de uma equipe técnica multidisplinar que jamais havia sido reunida em prol do Museu em toda a sua existência. 

Em maio de 1998, foi inaugurado o Salão de Exposição de Longa Duração “República”, responsável por abordar a atuação do EB no período republicano até 1945, tão bem trabalhado e executado quanto o ambiente que fora entregue aos visitantes anteriormente. 
Em ambos os salões de exposição, houve um esforço no sentido de valorizar o maior patrimônio que o EB possui: o homem. A caracterização dos personagens militares, utilizando-se de manequins, visou principalmente a auxiliar no resgate à figura do herói militar, homens que contribuíram para a construção da História do país. 

Contando com um acervo variado de 15.000 (quinze mil) peças em Reserva Técnica, o MHEx/FC possui indumentárias, armamentos e objetos de uso pessoal de vultos militares, como uma mecha do cabelo de Napoleão Bonaparte, que integram esporadicamente as exposições de curta duração.

Atualmente, o MHEx/FC recebe, em média, 40.000 (quarenta mil) visitantes por mês e mais de 200 (duzentas) delegações brasileiras e estrangeiras, civis e militares, ao ano, o que o coloca entre os quatro principais pontos turísticos da cidade do Rio de Janeiro. """,Márcio de Castro Alves - Divisão de Museologia,13/12/2022,OK,-22.9110137,-43.2093727
37,Ecomuseu de Sepetiba,-,-,"Praia de Sepetiba, S/N - Sepetiba",Rio de Janeiro,Metropolitana I,(21) 99673-1751,ecomuseudesepetiba@gmail.com,http://ecomuseudesepetiba.blogspot.com,@ecomuseudesepetiba,@ecomuseudesepetiba,-,Público-Privada,Ata,Desativado sem previsão de retorno,-,Gratuito,-,Sim,Patrimônio Científico e Histórico Natural,Não,,"O ecomuseu de Sepetiba surgiu enquanto movimento no ano de 2009 durante a IV jornada de formação em museologia comunitária, em seguida constituiu-se como coletivo, uma ação museológica da comunidade cujo objetivo é  desenvolver o território que habita a partir da valorização dos seus patrimônios, está ação museológica e/ou iniciativa de memória conseguiu ao longo de 12 anos de existência trazer à baila a história local preterida e esquecida, bem como despertar nos moradores e moradores a vontade de memória e de preservação do seu território e consequentemente revigorou a autoestima dos moradores, hoje por falta de auxílio, apoio e interesse encontra-se com suas atividades suspensas, mantendo apenas pesquisas.",Bianca de Moura Wild  - Fundadora,13/12/2022,OK,-22.9803949,-43.7029356
38,Centro Cultural Visconde de Mauá,CCVM,20.192.154/0001-30,"Avenida Venceslau Brás, 699",Resende,Médio Paraíba,(24) 99948-5181,maua.centrocultural@gmail.com,-,-,-,-,Privada,Não existe documentação de criação do museu,Aberto,Sexta a Domingo - Manhã e Tarde,Gratuito,-,Sim,Outros,Não,Somente rampa para cadeirante.,"Criado em abril de 2004, o CCVM realiza exposições de artes sistematicamente, concertos musicais frequentes, Feiras de Livro, Feiras do Disco Vinil, anualmente, Encontros de Corais, palestras com assuntos diversos. Possui Biblioteca Comunitária. É Ponto de Leitura desde setembro de 2009 e Ponto de Cultura desde maio de 2010.",Márcia Patrocínio - Diretora,13/12/2022,OK,-22.4418699,-44.4204847
39,Museu Casa da Hera,MCH,10.898.596/0007-38,"Rua Dr. Fernandes Júnior, 160",Vassouras,Médio Paraíba,(61)3521-4390,casadahera@museus.gov.br,http://museucasadahera.museus.gov.br,museucasadahera,@museucasadaheraoficial,-,Federal,Lei,Aberto,"Quarta a Sábado - Manhã e Tarde, Domingo - Manhã",Gratuito,-,Sim,Histórico,Sim,A visita é mediada por pessoal treinado.,"Está na categoria de museu-casa (museu histórico). Foi a residência da Família Teixeira Leite de 1843 (casamento de José Joaquim Teixeira Leite e Ana Esméria de Correa e Castro) até a morte da última herdeira, Eufrásia Teixeira Leite, em 1930. A casa e chácara foi legada em testamento por Eufrásia com a condição de não ser alienada, ocupada ou desmembrada (tanto os imóveis quanto seu acervo), daí decorrendo a sua condição de Patrimônio Nacional em 1952, passando a administração do IPHAN em 1962 e aberta como museu em dezembro de 1968. Passa a compor um dos museus federais do Instituto Brasileiro de Museus (Ibram) em 2009. Seu acervo é composto de documentos, livros, objetos tridimensionais e iconográficos, destacando-se a coleção de indumentária de nomes da alta-costura europeia do final do século XIX e início do XX.",Marco Antonio Xavier - Técnico em Assuntos Culturais,14/12/2022,OK,-22.4069682,-43.6594403
40,Sítio Roberto Burle Marx,,26.474.056/0025-49,"Estrada Roberto Burle Marx, 2019",Rio de Janeiro,Metropolitana I,(21) 2410-3000,srbm@iphan.gov.br,https://sitioburlemarx.org,SitioBurleMarx.Iphan,@sitiorobertoburlemarx,-,Federal,Não existe documentação de criação do museu,Aberto,Terça a Sábado - Manhã e Tarde,R$ 1 a 10,"Crianças até 5 anos; guias de turismo; professores; acompanhantes de pessoas com deficiência; moradores da Barra da Tijuca, Recreio dos Bandeirantes e Barra de Guaratiba. Por solicitação: escolas da rede pública; ONG's; servidores do Ministério da Cultura e outros. Meia entrada: adultos a partir de 60 anos e estudantes.",Sim,Outros,Não,"Os espaços abertos para visitação no Sitio Roberto Burle Marx possuem recursos de acessibilidade para auxiliar pessoas com deficiência, mobilidade reduzida e idosos. Os percursos de visitação são montados de acordo com as necessidades de cada grupo de visitantes, com o objetivo de proporcionar ao visitante o melhor atendimento possível.

O Sítio Roberto Burle Marx (SRBM) dispõe de carrinhos elétricos para deslocamento de visitantes com mobilidade reduzida e pessoas em cadeira de rodas, e vagas de estacionamento para pessoas com deficiência.

A recepção do SRBM conta com bebedouro, bancos para descanso e sanitários, sendo um acessível (com entrada separada, permitindo o uso por pessoas com acompanhantes de sexo oposto e trocador de fraldas para bebês).

Mapas táteis: no espaço receptivo há um mapa tátil de localização geral dos espaços do SRBM, com letras em alto-relevo e braille em inglês e português. Na Casa de Roberto há um mapa tátil de localização dos espaços da casa.

Réplicas táteis: na Loggia, no Ateliê e na Casa de Roberto existem réplicas táteis em alto-relevo de obras do acervo, desenvolvidas para pessoas com deficiência visual e baixa visão.

Obras disponibilizadas para tato: ao longo do percurso de visitação, algumas obras originais podem ser disponibilizadas ao tato, como esculturas e painéis de azulejos.

Audioguia com recursos de audiodescrição e vídeo em Libras.

Acessibilidade física: As vias que levam aos diferentes espaços do SRBM são pavimentadas com paralelepípedos. As áreas de desembarque do carrinho elétrico também são em piso de paralelepípedos. Rampas de acesso e piso nivelado possibilitam a circulação de pessoas em cadeira de rodas, idosos e pessoas com mobilidade reduzida em seus diversos ambientes, com diferentes níveis de acessibilidade:

Recepção: espaço nivelado e acessado por uma pequena rampa.
Escadaria da Capela: acesso por escadas com degraus largos sem corrimão.
Capela: um degrau de acesso na porta principal, com rampa metálica. Bancos na área interna que podem ser usados para descanso.
Loggia: acesso frontal por paralelepípedos com desnível inferior a um degrau. Existe acesso em nível e com rampas pela parte de trás com carrinho elétrico.
Jardim Casa de Roberto: acesso pela escadaria da Capela. Trecho em grama. Há degraus e desníveis. Não possui acesso por rampas.
Casa de Roberto: acesso frontal pela escadaria da Capela. Trecho em grama e em terra batida. Há degraus de acesso para a varanda frontal. Existe a possibilidade de chegar a esse espaço com carrinho elétrico, fazendo desembarque e embarque em nível e áreas com rampas para acesso à casa pela varanda traseira. O interior da casa possui piso de madeira nivelado, com exceção da Sala de Cerâmicas, que pode ser visualizada de dentro da casa ou acessada por escadas. A varanda da casa possui bancos para descanso.
Cozinha de Pedra: acesso frontal pela escadaria da Capela, acesso lateral por alguns degraus ou acesso em nível e com rampas pela parte de trás com carrinho elétrico. Área coberta possui bancos para descanso. Local com água potável disponível.
Trilha Ateliê e Lagos: escadaria com degraus suspensos e espaçados, sem corrimão e apoio.
Ateliê: acesso frontal por escadas com corrimão ou por percurso sinuoso rampeado, com paralelepípedos. Acesso por rampa mais curta e mais íngreme com piso de paralelepípedo pela parte de trás onde o carrinho elétrico faz o desembarque. Rampas internas para vencer desníveis de até um degrau.
Auditório: localizado no segundo andar, com acesso por escadarias. Foi desenvolvido um projeto para a modificação da localização desse espaço, com o intuito permitir o acesso de pessoas em cadeira de rodas, que será implementado futuramente.
Lagos: trecho com diferentes pisos, grama, paralelepípedos, áreas em desnível, circulações com diferentes larguras. Permite a visitação de pessoas em cadeira de rodas em alguns trechos, de acordo com a mobilidade e o comprometimento.","""Em 1949, Roberto Burle Marx e seu irmão Guilherme Siegfried compraram o primeiro terreno que hoje integra o Sítio Roberto Burle Marx, após uma longa busca por espaços que unissem qualidades como boa diversidade de solos adequados, com rochas afloradas, água abundante. Entre 1952 e 1960 os irmãos ampliaram a propriedade, com a aquisição de terrenos vizinhos, e foram realizando as intervenções necessárias ao cultivo e reprodução da coleção botânica - infraestrutura, edificações, viveiros de plantas e áreas ajardinadas - transformando-o no laboratório de paisagismo de Roberto. Em 1973 Roberto passou a residir no Sítio.

Em 1985, o paisagista doou a propriedade, com todo o seu conteúdo, ao governo federal, com o objetivo de assegurar a preservação do Sítio e de suas coleções, bem como a continuidade das pesquisas, a disseminação do conhecimento adquirido e o compartilhamento daquele espaço singular com a sociedade. Com a morte de Roberto Burle Marx, em 1994, o Sítio passou a ser gerido pelo Instituto do Patrimônio Histórico e Artístico Nacional (Iphan).

O imóvel foi tombado como patrimônio cultural do estado do Rio de Janeiro, em 1988, e do Brasil, em 2000. Em 2021, foi reconhecido como Patrimônio Mundial pela Organização das Nações Unidas para a Educação, a Ciência e a Cultura (UNESCO).
""",Claudia Maria P. Storino - Diretora,15/12/2022,OK,-23.0223041,-43.5462351
41,Museu das Remoções,MdR,-,"Rua Vila Autódromo, 24",Rio de Janeiro,Metropolitana I,(21) 99900-9003,museudasremocoes@gmail.com,https://museudasremocoes.com,museudasremocoes,@museudasremocoes,-,Privada,Não existe documentação de criação do museu,"Aberto, funcionando parcialmente",Segunda a Domingo - Manhã e Tarde,Gratuito,-,Sim,Histórico,Sim,Espaços físicos acessíveis,"O Museu das Remoções foi fundado em 18 de maio de 2016 e é um museu comunitário a céu aberto, que nasceu e se desenvolve na Vila Autódromo, uma comunidade localizada na Zona Oeste do Rio de Janeiro, às margens da lagoa de Jacarepaguá e ao lado do antigo Autódromo de Jacarepaguá, ao qual deu origem ao seu nome. A Vila Autódromo foi atravessada pelo processo de remoção do contexto das transformações urbanísticas do Rio de Janeiro para sediar as Olimpíadas de 2016, nesse contexto, o Museu das Remoções foi criado como forma de preservar as memórias dos moradores da Vila Autódromo e garantir o Direito à Cidade e à moradia digna. Além de ser um instrumento de luta, tem como objetivo promover eventos no âmbito da resistência artística, utilizar essa potente arma transformadora que é a arte para difundir, propagar e levar à reflexão situações reais de opressão, através de debates, oficinas, teatro, exposições, palestras, pesquisas e outros projetos e eventos que ajudem a fomentar o pensamento crítico em relação à especulação imobiliária, as remoções como estratégias políticas e os estigmas associados a favela e seus moradores.",Sandra Maria de Souza Teixeira - Cogestora,15/12/2022,OK,-22.9740297,-43.4034019
42,Museu da Sinalização Ferroviária da Antiga Cabine nº 3 da Central do Brasil,MUSIFE,-,"Praça do Engenho Novo, S/N",Rio de Janeiro,Metropolitana I,(21) 98214-0197,bajabug2@yahoo.com.br,https://www.abpf.com.br/trens-da-abpf/#Museu_de_Sinalizao_Ferroviria_e_Maquete_de_Ferreomodelismo_8211_Rio_de_Janeiro,-,-,-,Privada,Ata,"Aberto, funcionando parcialmente",-,Gratuito,-,Sim,Histórico,Sim,atualmente nenhuma atividade exercida// ainda não possuímos acesso e atendimento a diversos públicos,"museu criado em meados da década de 1990 para salvaguardar os acervos ferroviários ligados a sinalização que se encontravam abandonados ou em péssimo estado de conservação e com nenhuma utilidade pela ferrovia da epoca e tao pouco pelas administrações seguintes. em 2002 o mesmo inicia uma configuracão mais estruturada como museu e suas demandas, devido ao auxilio do estudante em museologia António Manuel. museu criado em meados da década de 1980 com a intensão de preservar a memoria da sinalização ferroviária do estado do rio de janeiro, o museu tomou forma a partir de 2001 por intermediação de um dos sócios estar estudando museologia e aplicando os ensinamentos da graduação no museu MUSIFE",Antônio Manuel de Araújo Rafael Frio - Museólogo,15/12/2022,OK,-22.9124819,-43.2634925
43,Museu das Comunicações e Humanidades,Musehum,04.256.109/0001-45,"Rua Dois de Dezembro, 63",Rio de Janeiro,Metropolitana I,(21) 3131-3060,acervo@institutooifuturo.org.br,https://oifuturo.org.br/espacos/musehum,InstitutoOiFuturo,@oi_futuro,@Oi_Futuro,Público-Privada,Não existe documentação de criação do museu,Aberto,Quarta a Domingo - Manhã e Tarde,Gratuito,-,Sim,Ciência e Tecnologia,Sim,"A instituição possui equipe para realizar mediação de visitas com profissionais capacitados para interpretação de conteúdo em libras; o conteúdo do museu está disponível disponível para o público através do recurso de áudio descrição. Parte de nossa exposição é passível ao toque para que pessoas com deficiências visuais possam tocá-los e sentir uma maior sinergia com o conteúdo exposto. Além disto, dentro das ações do Programa Educativo, a instituição está sempre buscando montar estações educativas para ações de mediações de forma que o público diverso possa interagir de forma mais abrangente com as exposições.","""Inaugurado em  21 de janeiro de 2020, o MUSEHUM é localizado no Centro Cultural Oi Futuro, no Rio de Janeiro, e também pode ser visitado online, por meio do site do Oi Futuro. Além do tour 360º, a plataforma digital do Museu das Comunicações e Humanidades disponibiliza ao público o seu Acervo Online, com mais de 3.800 itens inéditos, entre fotografias históricas, objetos e documentos, organizados em trilhas digitais temáticas. 

 O MUSEHUM é uma evolução do Museu das Telecomunicações, em atividade há 13 anos, que teve suas instalações totalmente remodeladas em função da nova proposta conceitual e foi reaberto à visitação em janeiro de 2020.  Com um acervo total de aproximadamente 130 mil peças, o museu tem cerca de 450 itens em exposição permanente e é localizado no sexto nível do centro cultural, no bairro do Flamengo. Com entrada gratuita, o museu oferece uma experiência única a cada visita, com atrações interativas customizáveis, ambientes imersivos e novas tecnologias. 

 A instituição nasceu como Museu do Telephone, inaugurado em 1981 no prédio centenário da Rua Dois de Dezembro, onde funcionava a estação telefônica Beira-Mar, uma das principais do Rio de Janeiro nos primórdios da telefonia brasileira. Em 2007, o museu ganhou uma perspectiva mais ampla virando o Museu das Telecomunicações, passando a abordar a expansão da internet, da telefonia celular e da indústria de telecom. Agora, com o MUSEHUM, o Oi Futuro dá um passo à frente ao centrar a narrativa do museu nas relações humanas, entendendo que não basta falar de tecnologia sem tratar da troca de afetos e conhecimentos que motiva as conexões e também abordar o impacto da expansão da conectividade na sociedade. Essa nova visão motivou um reposicionamento da marca e uma restruturação física e tecnológica do espaço, para colocar o visitante no centro da experiência de visitação e contemplá-lo como parte integrante do repertório do museu.

O Musehum está localizado dentro do Centro Cultural Oi Futuro, um complexo cultural, artístico e museológico aberto ao público há 15 anos.""",Bruna Costa Queiroz da Cruz - Coordenadora,16/12/2022,OK,-22.9300680,-43.1762202
